Attraction_Id,Attraction_Nm,Attraction_url,Rankings,Category,Address,No_of_Reviews,Weekday_Hours,Weekend_Hours,Overall_Rating,Rating_Excellent,Rating_Good,Rating_Average,Rating_Poor,Rating_Terrible
d155426,Point Pleasant Park,https://www.tripadvisor.com/Attraction_Review-g154976-d155426-Reviews-Point_Pleasant_Park-Halifax_Halifax_Region_Nova_Scotia.html,#7 of 112 things to do in Halifax,"Nature & Parks, Outdoor Activities, Jogging Paths & Tracks","5530 Point Pleasant Drive, Halifax, Nova Scotia B3H 1B5, Canada",791,Open Now: 6:00 AM - 9:30 PM,Sun - Sat6:00 AM - 9:30 PM,4.5,64%,29%,5%,1%,1%
d592641,Alexander Keith s Brewery,https://www.tripadvisor.com/Attraction_Review-g154976-d592641-Reviews-Alexander_Keith_s_Brewery-Halifax_Halifax_Region_Nova_Scotia.html,#19 of 112 things to do in Halifax,"Food & Drink, Breweries","1496 Lower Water St, Halifax, Nova Scotia B3J 1R9, Canada",911,Closed Now: 1:00 PM - 6:00 PM,Sun11:30 AM - 6:00 PMMon - Thu1:00 PM - 6:00 PMFri11:30 AM - 8:30 PMSat8:00 AM - 8:30 PM,4.0,48%,29%,13%,6%,4%
d2161419,Cape Breton Centre for Craft and Design,https://www.tripadvisor.com/Attraction_Review-g154973-d2161419-Reviews-Cape_Breton_Centre_for_Craft_and_Design-Sydney_Cape_Breton_Island_Nova_Scotia.html,#3 of 38 things to do in Sydney,"Shopping, Museums, Art Galleries","322 Charlotte St, Sydney, Nova Scotia B1P 1C8, Canada",79,Open Now: 10:00 AM - 4:00 PM,Mon - Fri10:00 AM - 4:00 PMSat12:00 PM - 4:00 PM,4.5,57%,30%,11%,2%,0%
d3636077,Jost House Museum,https://www.tripadvisor.com/Attraction_Review-g154973-d3636077-Reviews-Jost_House_Museum-Sydney_Cape_Breton_Island_Nova_Scotia.html,#5 of 38 things to do in Sydney,"Museums, Sights & Landmarks, Specialty Museums, Historic Sites More","54 Charlotte St, Sydney, Nova Scotia B1P 1B7, Canada",73,Open Now: 10:00 AM - 4:00 PM,Mon - Sat10:00 AM - 4:00 PM,4.5,52%,38%,8%,1%,1%
d675945,Glooscap Trail,https://www.tripadvisor.com/Attraction_Review-g154967-d675945-Reviews-Glooscap_Trail-Nova_Scotia.html,"#610 of 1,093 things to do in Nova Scotia","Outdoor Activities, Sights & Landmarks, Scenic Drives","Nova Scotia, Canada",11,,,3.5,37%,18%,18%,27%,0%
d2268356,Victoria Park,https://www.tripadvisor.com/Attraction_Review-g181762-d2268356-Reviews-Victoria_Park-Truro_Nova_Scotia.html,#1 of 17 things to do in Truro,Nature & Parks,"40 Douglas St | 40 Douglas Street, Truro, Nova Scotia B2N 2E7, Canada",475,Open Now: 11:00 AM - 5:00 PM,Sun - Sat11:00 AM - 5:00 PM,4.5,75%,22%,2%,1%,0%
d2027543,Ironworks Distillery,https://www.tripadvisor.com/Attraction_Review-g182187-d2027543-Reviews-Ironworks_Distillery-Lunenburg_Southwest_Nova_Scotia_Nova_Scotia.html,#4 of 30 things to do in Lunenburg,"Sights & Landmarks, Food & Drink, Historic Sites, Distilleries More","2 Kempt Street, Lunenburg, Nova Scotia B0J 2C0, Canada",323,Closed today: Closed,Thu - Sat12:00 PM - 5:00 PM,4.5,62%,30%,6%,1%,1%
d1111318,Skyline Trail,https://www.tripadvisor.com/Attraction_Review-g154972-d1111318-Reviews-Skyline_Trail-Cape_Breton_Island_Nova_Scotia.html,#12 of 246 things to do in Cape Breton Island,"Outdoor Activities, Nature & Parks, Hiking Trails","Cape Breton Highlands National Park | GPS Co-ordinates for Trailhead : Lat: 46.737691 Long: -60.880377, Nova Scotia, Canada",749,,,4.5,72%,20%,6%,1%,1%
d3650660,Dartmouth Crossing,https://www.tripadvisor.com/Attraction_Review-g154974-d3650660-Reviews-Dartmouth_Crossing-Dartmouth_Halifax_Region_Nova_Scotia.html,#2 of 24 things to do in Dartmouth,"Shopping, Shopping Malls","Burnside / Hwy 118, Exit 12, Dartmouth, Nova Scotia, Canada",188,Open Now: 10:00 AM - 9:00 PM,Sun12:00 PM - 5:00 PMMon - Fri10:00 AM - 9:00 PMSat9:30 AM - 9:00 PM,4.5,53%,35%,8%,3%,1%
d298785,Cape Forchu Lightstation,https://www.tripadvisor.com/Attraction_Review-g181761-d298785-Reviews-Cape_Forchu_Lightstation-Yarmouth_Southwest_Nova_Scotia_Nova_Scotia.html,#1 of 26 things to do in Yarmouth,"Sights & Landmarks, Lighthouses","Highway 304 to Cape Forchu | 1856 Cape Forchu, Yarmouth, Nova Scotia B5A 4A7, Canada",464,Open Now: 9:00 AM - 5:00 PM,Fri9:00 AM - 7:00 PMSat - Thu9:00 AM - 5:00 PM,4.5,68%,27%,3%,1%,1%
d186976,Cape Breton Highlands National Park,https://www.tripadvisor.com/Attraction_Review-g499216-d186976-Reviews-Cape_Breton_Highlands_National_Park-Ingonish_Cape_Breton_Island_Nova_Scotia.html,#1 of 15 things to do in Ingonish,"Nature & Parks, National Parks","Ingonish, Nova Scotia B0C 1L0, Canada",1402,Open Now: 8:00 AM - 4:00 PM,Mon - Fri8:00 AM - 4:00 PM,5.0,84%,12%,2%,1%,1%
d209840,Peggy s Cove Lighthouse,https://www.tripadvisor.com/Attraction_Review-g780595-d209840-Reviews-Peggy_s_Cove_Lighthouse-Peggy_s_Cove_Halifax_Region_Nova_Scotia.html,#1 of 8 things to do in Peggy's Cove,"Sights & Landmarks, Lighthouses","Peggy's Point Road, Peggy's Cove, Nova Scotia, Canada",2670,,,4.5,69%,24%,5%,1%,1%
d2335015,Luckett Vineyards,https://www.tripadvisor.com/Attraction_Review-g154969-d2335015-Reviews-Luckett_Vineyards-Wolfville_Southwest_Nova_Scotia_Nova_Scotia.html,#1 of 16 things to do in Wolfville,"Food & Drink, Wineries & Vineyards","1293 Grand Pre Rd, Wolfville, Nova Scotia B4P 2R3, Canada",643,Closed today: Closed,Mon5:00 AM - 5:00 PM,4.5,65%,25%,5%,4%,1%
d669331,Shubenacadie River,https://www.tripadvisor.com/Attraction_Review-g154967-d669331-Reviews-Shubenacadie_River-Nova_Scotia.html,"#510 of 1,093 things to do in Nova Scotia","Nature & Parks, Bodies of Water","Highway 102 | Shubenacadie, Nova Scotia B0N 2H0, Canada",10,,,4.5,60%,30%,10%,0%,0%
d298809,La Have Lighthouse,https://www.tripadvisor.com/Attraction_Review-g154967-d298809-Reviews-La_Have_Lighthouse-Nova_Scotia.html,"#647 of 1,093 things to do in Nova Scotia","Sights & Landmarks, Lighthouses","Fort Point Road | La Have, Nova Scotia, Canada",3,,,4.5,67%,33%,0%,0%,0%
d209841,Liverpool,https://www.tripadvisor.com/Attraction_Review-g154967-d209841-Reviews-Liverpool-Nova_Scotia.html,"#488 of 1,093 things to do in Nova Scotia","Sights & Landmarks, Historic Sites","Nova Scotia, Canada",13,,,4.0,23%,62%,15%,0%,0%
d6988346,Baille Ard Nature Trail,https://www.tripadvisor.com/Attraction_Review-g154973-d6988346-Reviews-Baille_Ard_Nature_Trail-Sydney_Cape_Breton_Island_Nova_Scotia.html,#6 of 38 things to do in Sydney,"Nature & Parks, Outdoor Activities, Hiking Trails","Cottage Road, Sydney, Nova Scotia, Canada",36,,,4.5,65%,33%,0%,0%,2%
d12676087,Lunenburg Historic District,https://www.tripadvisor.com/Attraction_Review-g182187-d12676087-Reviews-Lunenburg_Historic_District-Lunenburg_Southwest_Nova_Scotia_Nova_Scotia.html,#5 of 30 things to do in Lunenburg,"Sights & Landmarks, Historic Walking Areas","Main Street | Old Historic Downtown Lunenburg, Lunenburg, Nova Scotia 01462, Canada",170,,,4.5,63%,31%,5%,1%,0%
d4563174,St John s Anglican Church,https://www.tripadvisor.com/Attraction_Review-g182187-d4563174-Reviews-St_John_s_Anglican_Church-Lunenburg_Southwest_Nova_Scotia_Nova_Scotia.html,#2 of 30 things to do in Lunenburg,"Sights & Landmarks, Churches & Cathedrals","81 Cumberland Street, Lunenburg, Nova Scotia B0J 2C0, Canada",370,,,4.5,73%,24%,3%,0%,0%
d183419,Alexander Graham Bell National Historic Site,https://www.tripadvisor.com/Attraction_Review-g499213-d183419-Reviews-Alexander_Graham_Bell_National_Historic_Site-Baddeck_Cape_Breton_Island_Nova_Scoti.html,#2 of 15 things to do in Baddeck,"Sights & Landmarks, Museums, History Museums, Historic Sites More","559 Chebucto Street, Baddeck, Nova Scotia B0E 1B0, Canada",1884,,,4.5,62%,29%,7%,1%,1%
d3397411,Les Trois Pignons,https://www.tripadvisor.com/Attraction_Review-g499215-d3397411-Reviews-Les_Trois_Pignons-Cheticamp_Cape_Breton_Island_Nova_Scotia.html,#1 of 12 things to do in Cheticamp,"Museums, Specialty Museums","15584 Cabot Trail, Cheticamp, Nova Scotia B0E 1H0, Canada",156,Open Now: 8:30 AM - 4:30 PM,Tue - Fri8:30 AM - 4:30 PM,4.5,66%,31%,2%,1%,0%
d10486338,Blue Rocks,https://www.tripadvisor.com/Attraction_Review-g182187-d10486338-Reviews-Blue_Rocks-Lunenburg_Southwest_Nova_Scotia_Nova_Scotia.html,#7 of 30 things to do in Lunenburg,"Sights & Landmarks, Other, Neighborhoods","Lunenburg, Nova Scotia, Canada",189,,,4.5,52%,29%,14%,4%,1%
d7204160,Shubenacadie Canal Waterway,https://www.tripadvisor.com/Attraction_Review-g154974-d7204160-Reviews-Shubenacadie_Canal_Waterway-Dartmouth_Halifax_Region_Nova_Scotia.html,#1 of 24 things to do in Dartmouth,"Nature & Parks, Bodies of Water","54 Locks Rd, Dartmouth, Nova Scotia B2X 2W7, Canada",116,,,4.5,71%,27%,2%,0%,0%
d4084664,Saint Peter s Church,https://www.tripadvisor.com/Attraction_Review-g499215-d4084664-Reviews-Saint_Peter_s_Church-Cheticamp_Cape_Breton_Island_Nova_Scotia.html,#2 of 12 things to do in Cheticamp,"Sights & Landmarks, Churches & Cathedrals","119 Cabot Trail Drive, Cheticamp, Nova Scotia, Canada",147,,,4.5,59%,36%,4%,0%,1%
d784830,Cape Split Hiking Trail,https://www.tripadvisor.com/Attraction_Review-g499229-d784830-Reviews-Cape_Split_Hiking_Trail-Kentville_Southwest_Nova_Scotia_Nova_Scotia.html,#1 of 14 things to do in Kentville,"Nature & Parks, Outdoor Activities, Hiking Trails","Cape Split Road, Kentville, Nova Scotia B0P 1H0, Canada",227,,,4.5,72%,22%,5%,1%,0%
d6211336,Sullivan s Pond,https://www.tripadvisor.com/Attraction_Review-g154974-d6211336-Reviews-Sullivan_s_Pond-Dartmouth_Halifax_Region_Nova_Scotia.html,#5 of 24 things to do in Dartmouth,"Nature & Parks, Bodies of Water","Prince Albert Road, Dartmouth, Nova Scotia, Canada",90,,,4.5,57%,34%,8%,1%,0%
d185435,Art Gallery of Nova Scotia,https://www.tripadvisor.com/Attraction_Review-g154976-d185435-Reviews-Art_Gallery_of_Nova_Scotia-Halifax_Halifax_Region_Nova_Scotia.html,#15 of 112 things to do in Halifax,"Museums, Shopping, Art Museums, Art Galleries More","1741 Hollis St, Halifax, Nova Scotia B3J 1V9, Canada",352,Open Now: 10:00 AM - 5:00 PM,Sun12:00 PM - 5:00 PMMon - Wed10:00 AM - 5:00 PMThu10:00 AM - 9:00 PMFri - Sat10:00 AM - 5:00 PM,4.5,49%,35%,13%,2%,1%
d7052427,Prim Point Lighthouse,https://www.tripadvisor.com/Attraction_Review-g154975-d7052427-Reviews-Prim_Point_Lighthouse-Digby_Southwest_Nova_Scotia_Nova_Scotia.html,#2 of 20 things to do in Digby,"Sights & Landmarks, Points of Interest & Landmarks, Lighthouses","Lighthouse Road, Digby, Nova Scotia B0V 1A0, Canada",168,,,4.5,55%,35%,9%,0%,1%
d2254010,Old Barn Gallery,https://www.tripadvisor.com/Attraction_Review-g154971-d2254010-Reviews-Old_Barn_Gallery-Antigonish_Nova_Scotia.html,#1 of 22 things to do in Antigonish,"Shopping, Museums, Art Galleries","71 Melanson Rd | Pomquet Village, Antigonish, Nova Scotia B2G 2L4, Canada",101,Closed today: Closed,Wed - Sun10:00 AM - 5:00 PM,4.5,81%,13%,1%,1%,4%
d12697369,Lightfoot Wolfville Vineyards,https://www.tripadvisor.com/Attraction_Review-g154969-d12697369-Reviews-Lightfoot_Wolfville_Vineyards-Wolfville_Southwest_Nova_Scotia_Nova_Scotia.html,#2 of 16 things to do in Wolfville,"Food & Drink, Wineries & Vineyards","11143 Evangeline Trail, Wolfville, Nova Scotia B4P 2S3, Canada",99,Open Now: 10:00 AM - 6:00 PM,Sun - Sat10:00 AM - 6:00 PM,4.5,70%,20%,6%,3%,1%
d3518919,Membertou Heritage Park,https://www.tripadvisor.com/Attraction_Review-g154973-d3518919-Reviews-Membertou_Heritage_Park-Sydney_Cape_Breton_Island_Nova_Scotia.html,#9 of 38 things to do in Sydney,"Museums, History Museums","35 Su'n Awti, Sydney, Nova Scotia B1S 0H4, Canada",24,Open Now: 9:00 AM - 6:00 PM,Sun - Sat9:00 AM - 6:00 PM,4.5,63%,29%,8%,0%,0%
d262838,Annapolis Royal Historic Gardens,https://www.tripadvisor.com/Attraction_Review-g154970-d262838-Reviews-Annapolis_Royal_Historic_Gardens-Annapolis_Royal_Southwest_Nova_Scotia_Nova_Scotia.html,#1 of 21 things to do in Annapolis Royal,"Nature & Parks, Nature & Wildlife Areas, Gardens",Features AnimalsThis attraction features animalsClick below for expert advice on animal welfare in tourism.Learn more,676,Open Now: 9:00 AM - 5:00 PM,Sun - Sat9:00 AM - 5:00 PM,4.5,70%,24%,4%,1%,1%
d2227082,Royal Nova Scotia International Tattoo,https://www.tripadvisor.com/Attraction_Review-g154976-d2227082-Reviews-Royal_Nova_Scotia_International_Tattoo-Halifax_Halifax_Region_Nova_Scotia.html,#3 of 112 things to do in Halifax,"Events, Cultural Events","1800 Argyle St | Scotiabank Centre, Halifax, Nova Scotia B3J 3N8, Canada",330,,,4.5,79%,16%,3%,1%,1%
d186153,Gaelic College,https://www.tripadvisor.com/Attraction_Review-g154972-d186153-Reviews-Gaelic_College-Cape_Breton_Island_Nova_Scotia.html,#21 of 246 things to do in Cape Breton Island,"Sights & Landmarks, Educational sites","51779 Cabot Trail Road, Nova Scotia B0C 1H0, Canada",89,,,4.5,64%,29%,7%,0%,0%
d2226929,Meat Cove,https://www.tripadvisor.com/Attraction_Review-g154972-d2226929-Reviews-Meat_Cove-Cape_Breton_Island_Nova_Scotia.html,#23 of 246 things to do in Cape Breton Island,"Sights & Landmarks, Other, Neighborhoods","Nova Scotia B0C 1E0, Canada",160,,,4.5,66%,22%,7%,3%,2%
d8555730,Carter s Beach,https://www.tripadvisor.com/Attraction_Review-g3169631-d8555730-Reviews-Carter_s_Beach-Port_Mouton_Southwest_Nova_Scotia_Nova_Scotia.html,#1 of 3 things to do in Port Mouton,"Nature & Parks, Outdoor Activities, Beaches","Carters Beach Rd, Port Mouton, Nova Scotia B0T 1T0, Canada",48,,,4.5,72%,20%,0%,2%,6%
d561945,Discovery Centre,https://www.tripadvisor.com/Attraction_Review-g154976-d561945-Reviews-Discovery_Centre-Halifax_Halifax_Region_Nova_Scotia.html,#18 of 112 things to do in Halifax,"Museums, Science Museums, Children's Museums","1215 Lower Water St, Halifax, Nova Scotia B3J 3S8, Canada",293,Open Now: 10:00 AM - 5:00 PM,Wed10:00 AM - 8:00 PMThu - Tue10:00 AM - 5:00 PM,4.0,54%,29%,13%,3%,1%
d14901495,Indian Beach,https://www.tripadvisor.com/Attraction_Review-g181763-d14901495-Reviews-Indian_Beach-North_Sydney_Cape_Breton_Island_Nova_Scotia.html,#2 of 6 things to do in North Sydney,"Nature & Parks, Outdoor Activities, Beaches","445 Purves Street, North Sydney, Nova Scotia B2A 1C7, Canada",5,,,5.0,80%,20%,0%,0%,0%
d6214945,Lake Banook,https://www.tripadvisor.com/Attraction_Review-g154974-d6214945-Reviews-Lake_Banook-Dartmouth_Halifax_Region_Nova_Scotia.html,#4 of 24 things to do in Dartmouth,"Nature & Parks, Bodies of Water","Prince Albert Road, Dartmouth, Nova Scotia, Canada",78,,,4.5,79%,16%,5%,0%,0%
d3440862,Acadian Trail,https://www.tripadvisor.com/Attraction_Review-g499215-d3440862-Reviews-Acadian_Trail-Cheticamp_Cape_Breton_Island_Nova_Scotia.html,#3 of 12 things to do in Cheticamp,"Outdoor Activities, Nature & Parks, Hiking Trails","Cheticamp Information Centre | Cape Breton Highlands National Park, Cheticamp, Nova Scotia, Canada",72,,,4.5,68%,29%,1%,0%,2%
d7174922,Inverness Beach Boardwalk,https://www.tripadvisor.com/Attraction_Review-g1841318-d7174922-Reviews-Inverness_Beach_Boardwalk-Inverness_Cape_Breton_Island_Nova_Scotia.html,#1 of 16 things to do in Inverness,"Sights & Landmarks, Piers & Boardwalks","158 Beach Rd #1, Inverness, Nova Scotia, Canada",147,,,4.5,73%,24%,2%,0%,1%
d185437,HMCS Sackville Canada s Naval Memorial,https://www.tripadvisor.com/Attraction_Review-g154976-d185437-Reviews-HMCS_Sackville_Canada_s_Naval_Memorial-Halifax_Halifax_Region_Nova_Scotia.html,#12 of 112 things to do in Halifax,"Sights & Landmarks, Ships, Historic Sites","1675 Lower Water St adjacent the Maritime Museum of the Atlantic, Halifax, Nova Scotia B3K 5X5, Canada",344,,,4.5,54%,40%,5%,0%,1%
d12571852,Saltbox Brewery,https://www.tripadvisor.com/Attraction_Review-g499230-d12571852-Reviews-Saltbox_Brewery-Mahone_Bay_Southwest_Nova_Scotia_Nova_Scotia.html,#3 of 10 things to do in Mahone Bay,"Food & Drink, Breweries","363 Main Street, Mahone Bay, Nova Scotia B0J 2E0, Canada",32,,,4.5,63%,25%,3%,3%,6%
d2304736,Hector Heritage Quay,https://www.tripadvisor.com/Attraction_Review-g154977-d2304736-Reviews-Hector_Heritage_Quay-Pictou_Nova_Scotia.html,#1 of 19 things to do in Pictou,"Museums, History Museums","33 Caladh Avenue, Pictou, Nova Scotia B0K 1H0, Canada",210,Open Now: 10:00 AM - 4:00 PM,Sun - Sat10:00 AM - 4:00 PM,4.5,57%,31%,10%,1%,1%
d2272286,Shearwater Aviation Museum,https://www.tripadvisor.com/Attraction_Review-g154974-d2272286-Reviews-Shearwater_Aviation_Museum-Dartmouth_Halifax_Region_Nova_Scotia.html,#3 of 24 things to do in Dartmouth,"Museums, Specialty Museums","34 Bonaventure Street, Dartmouth, Nova Scotia B0J 3A0, Canada",101,Open Now: 8:30 AM - 4:30 PM,Mon - Fri8:30 AM - 4:30 PM,4.5,62%,34%,4%,0%,0%
d13153501,Gypsum Mine Trail,https://www.tripadvisor.com/Attraction_Review-g499215-d13153501-Reviews-Gypsum_Mine_Trail-Cheticamp_Cape_Breton_Island_Nova_Scotia.html,#4 of 12 things to do in Cheticamp,"Outdoor Activities, Nature & Parks, Sights & Landmarks, Hiking Trails, Mines More","Back Road, Cheticamp, Nova Scotia B0E 2M0, Canada",20,,,4.5,55%,45%,0%,0%,0%
d5533672,Graves Island Provincial Park,https://www.tripadvisor.com/Attraction_Review-g499221-d5533672-Reviews-Graves_Island_Provincial_Park-Chester_Southwest_Nova_Scotia_Nova_Scotia.html,#2 of 18 things to do in Chester,Nature & Parks,"230 Graves Island Road | off Highway #3, Chester, Nova Scotia B0J 1J0, Canada",56,,,4.5,50%,41%,5%,1%,3%
d10415802,Baxter Harbour Falls,https://www.tripadvisor.com/Attraction_Review-g499229-d10415802-Reviews-Baxter_Harbour_Falls-Kentville_Southwest_Nova_Scotia_Nova_Scotia.html,#2 of 14 things to do in Kentville,"Nature & Parks, Waterfalls","Baxters Harbour Rd, Kentville, Nova Scotia, Canada",23,,,4.5,79%,17%,4%,0%,0%
d186894,Fortress of Louisbourg National Historic Site,https://www.tripadvisor.com/Attraction_Review-g499217-d186894-Reviews-Fortress_of_Louisbourg_National_Historic_Site-Louisbourg_Cape_Breton_Island_Nova_S.html,#1 of 16 things to do in Louisbourg,"Museums, Sights & Landmarks, Specialty Museums, Historic Sites More","259 Park Service Rd, Louisbourg, Nova Scotia B1C 2L2, Canada",1957,Open Now: 9:30 AM - 5:00 PM,Sun - Sat9:30 AM - 5:00 PM,4.5,75%,19%,4%,1%,1%
d4323532,Glimpses Theatre Troupe,https://www.tripadvisor.com/Attraction_Review-g182187-d4323532-Reviews-Glimpses_Theatre_Troupe-Lunenburg_Southwest_Nova_Scotia_Nova_Scotia.html,#1 of 30 things to do in Lunenburg,"Concerts & Shows, Theaters","68 Bluenose Drive, Lunenburg, Nova Scotia B0J 2C0, Canada",123,,,5.0,92%,8%,0%,0%,0%
d4473946,Halifax Southwestern Railway Museum,https://www.tripadvisor.com/Attraction_Review-g182187-d4473946-Reviews-Halifax_Southwestern_Railway_Museum-Lunenburg_Southwest_Nova_Scotia_Nova_Scotia.html,#9 of 30 things to do in Lunenburg,"Museums, Specialty Museums","11188 Highway 3, Lunenburg, Nova Scotia B0J 2C0, Canada",55,Open Now: 10:00 AM - 5:00 PM,Sun1:00 PM - 5:00 PMMon - Sat10:00 AM - 5:00 PM,4.5,70%,29%,1%,0%,0%
